epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,270.199,0.7284,1.9759,0.94712,0.00726,0.96506,0.80671,0.64328,0.56805,2.99116,0.86081,0.000543319,0.000543319,0.000543319
2,511.554,0.65095,1.05709,0.92091,0.78523,0.41773,0.65202,0.56267,0.60324,2.22539,0.90588,0.00107723,0.00107723,0.00107723
3,740.507,0.64046,0.94624,0.92129,0.93771,0.88196,0.94031,0.8023,0.62949,1.05341,0.91153,0.00158913,0.00158913,0.00158913
4,969.677,0.65283,0.83524,0.92356,0.8803,0.90136,0.93129,0.79724,0.56611,1.2973,0.90221,0.00156798,0.00156798,0.00156798
5,1198.39,0.59834,0.75836,0.90932,0.92661,0.92051,0.94634,0.8055,0.55253,0.91794,0.89902,0.00153497,0.00153497,0.00153497
6,1426.44,0.58488,0.70324,0.89742,0.93882,0.93001,0.95133,0.81779,0.57264,0.73242,0.91051,0.00150197,0.00150197,0.00150197
7,1656.37,0.57493,0.63594,0.89105,0.92726,0.93013,0.95184,0.82947,0.55112,0.75655,0.8859,0.00146896,0.00146896,0.00146896
8,1885.12,0.55816,0.60454,0.88841,0.91181,0.94536,0.95185,0.84078,0.50898,0.70967,0.87557,0.00143595,0.00143595,0.00143595
9,2152.48,0.55003,0.55725,0.89231,0.93759,0.94929,0.95526,0.84872,0.47044,0.53984,0.87045,0.00140295,0.00140295,0.00140295
10,2412.64,0.54241,0.52691,0.88259,0.94194,0.94263,0.96294,0.85336,0.46112,0.50396,0.85901,0.00136994,0.00136994,0.00136994
11,2690.45,0.56016,0.51816,0.88965,0.92206,0.93654,0.95223,0.83575,0.49884,0.53686,0.86957,0.00133693,0.00133693,0.00133693
12,2925.87,0.53271,0.49361,0.88812,0.94757,0.93613,0.96007,0.84321,0.50394,0.5592,0.88307,0.00130393,0.00130393,0.00130393
13,3167.93,0.5158,0.49851,0.88198,0.96874,0.93141,0.9512,0.84296,0.46708,0.56161,0.85834,0.00127092,0.00127092,0.00127092
14,3448.7,0.51054,0.46503,0.87542,0.93712,0.94263,0.96921,0.86638,0.48377,0.48251,0.86867,0.00123791,0.00123791,0.00123791
15,3734.63,0.50694,0.46573,0.87695,0.9596,0.94583,0.9628,0.85842,0.4539,0.51381,0.85158,0.00120491,0.00120491,0.00120491
16,4017.75,0.52232,0.45658,0.88247,0.97435,0.94674,0.96446,0.85337,0.4515,0.41746,0.86454,0.0011719,0.0011719,0.0011719
